Model,acdc,ade20k,ade20k,aircraft,chexpert,cifar100,cifar100,cifar100,cityscapes,cityscapes,clevr,clevr-math,clevr-math,coco-10k,coco-10k,coco-164k,coco-164k,cubirds,diabetic,dtextures,flickr30k,flickr30k,flickr30k,flickr30k,food101,food101,food101,fungi,ham10k,hmdb51,hmdb51,imagenet1k,imagenet1k,imagenet1k,iwildcam,kinetics,kinetics,mini,newyorkercaptioncontest,newyorkercaptioncontest,newyorkercaptioncontest,newyorkercaptioncontest,nyu,nyu,omniglot,pascal,pascal,places365,places365,places365,pokemonblipcaptions,pokemonblipcaptions,pokemonblipcaptions,pokemonblipcaptions,ucf,ucf,vgg,winoground,winoground
Metric,dice-loss,mIoU,dice-loss,acc@1,auc,loss,acc@5,acc@1,mIoU,dice-loss,acc@1,acc@5,acc@1,mIoU,dice-loss,mIoU,dice-loss,acc@1,auc,acc@1,text-to-image-acc@5,text-to-image-acc@1,image-to-text-acc@1,image-to-text-acc@5,loss,acc@5,acc@1,acc@1,auc,acc@5,acc@1,loss,acc@5,acc@1,mae,acc@5,acc@1,acc@1,text-to-image-acc@5,text-to-image-acc@1,image-to-text-acc@1,image-to-text-acc@5,mIoU,dice-loss,acc@1,mIoU,dice-loss,loss,acc@5,acc@1,text-to-image-acc@5,text-to-image-acc@1,image-to-text-acc@1,image-to-text-acc@5,acc@5,acc@1,acc@1,text-to-image-acc@1,image-to-text-acc@1
AR-ViT-B16-224,0.571,17.353,0.777,0.944,0.813,1.636,83.629,55.742,0.521,0.230,52.828,98.850,58.849,22.783,0.973,21.321,0.970,0.944,0.839,0.799,0.188,0.053,0.055,0.187,0.582,96.630,83.834,0.775,0.985,57.917,28.385,0.967,93.007,78.199,4.093,63.288,36.718,0.987,0.195,0.052,0.054,0.187,8.345,0.271,0.986,15.460,0.781,2.062,78.706,46.641,0.821,0.640,0.628,0.794,84.369,65.374,0.955,0.569,0.611
BART,0.747,0.380,0.668,0.530,0.637,3.985,29.170,8.967,0.000,0.217,42.563,96.450,41.761,0.056,0.959,0.110,0.965,0.503,0.551,0.354,0.079,0.016,0.015,0.078,3.889,31.844,11.504,0.337,0.859,9.961,1.953,6.622,3.107,0.713,4.489,1.277,0.256,0.373,0.081,0.016,0.016,0.081,4.893,0.240,0.841,1.002,0.556,5.248,11.058,2.953,0.748,0.556,0.556,0.694,5.444,1.031,0.594,0.477,0.488
BERT,0.959,0.360,0.670,0.590,0.662,3.685,38.137,14.520,0.000,0.218,42.593,97.400,44.265,0.055,0.962,0.096,0.966,0.474,0.576,0.376,0.081,0.016,0.015,0.083,3.499,42.442,18.191,0.328,0.911,9.766,1.953,6.473,4.616,1.173,4.576,1.269,0.233,0.396,0.082,0.015,0.016,0.085,5.503,0.241,0.902,0.961,0.545,5.008,16.037,4.795,0.756,0.599,0.587,0.722,6.040,1.287,0.594,0.504,0.503
CLIP-B16-224,0.538,33.804,0.687,0.965,0.816,0.908,93.760,74.731,1.054,0.213,52.622,99.113,61.218,29.609,0.968,30.369,0.954,0.979,0.867,0.843,0.209,0.055,0.062,0.206,0.306,98.679,91.496,0.854,0.986,70.039,40.404,0.752,95.708,81.815,3.613,71.240,44.574,0.962,0.210,0.057,0.060,0.199,7.545,0.287,0.989,26.619,0.632,1.757,83.864,53.445,0.852,0.679,0.618,0.817,88.238,71.440,0.989,0.540,0.486
ConvNextV2-Base,0.636,37.253,0.472,0.967,0.818,0.640,97.422,84.126,2.533,0.182,52.606,99.787,77.402,26.840,0.147,25.059,0.169,0.980,0.875,0.850,0.212,0.055,0.060,0.205,0.272,98.991,92.896,0.857,0.991,77.539,50.326,0.635,96.851,85.288,3.446,75.765,49.011,0.958,0.214,0.058,0.063,0.210,5.260,0.225,0.986,32.665,0.297,1.659,85.325,54.726,0.803,0.610,0.616,0.783,94.737,84.106,0.996,0.478,0.398
DINO-B16-224,0.515,18.610,0.733,0.956,0.819,1.200,89.590,66.282,1.714,0.215,52.846,99.188,61.001,24.968,0.969,24.292,0.951,0.959,0.847,0.791,0.196,0.046,0.054,0.186,0.478,97.449,86.519,0.812,0.987,56.525,27.995,1.376,88.493,67.529,4.010,55.634,29.529,0.899,0.200,0.052,0.053,0.190,6.138,0.286,0.987,18.184,0.698,1.987,79.704,47.454,0.856,0.682,0.655,0.818,77.125,52.769,0.959,0.483,0.495
DeiT3-B16-224,0.591,21.900,0.703,0.953,0.827,1.162,90.844,66.750,2.212,0.217,52.342,99.350,62.701,28.345,0.953,26.125,0.959,0.962,0.818,0.819,0.200,0.050,0.056,0.192,0.447,97.718,87.331,0.805,0.985,64.338,36.523,0.794,94.675,82.011,3.194,66.558,39.528,0.988,0.219,0.060,0.065,0.205,7.488,0.292,0.986,22.291,0.667,1.943,80.614,48.677,0.826,0.670,0.639,0.810,88.506,70.411,0.962,0.492,0.424
EffFormer-s0,0.730,9.801,0.662,0.775,0.800,3.478,43.571,16.511,2.492,0.211,45.115,98.700,53.862,13.995,0.903,13.549,0.865,0.863,0.818,0.567,0.156,0.035,0.042,0.160,1.483,86.983,62.578,0.512,0.818,9.726,1.628,2.830,72.456,44.615,3.485,1.334,0.279,0.908,0.151,0.034,0.034,0.144,10.498,0.236,0.954,14.026,0.486,3.276,55.901,25.548,0.775,0.605,0.594,0.782,5.173,0.840,0.903,0.568,0.513
EffV2-RW-S,0.391,12.668,0.679,0.894,0.818,1.461,89.471,64.968,2.591,0.201,39.848,97.463,43.199,8.704,0.937,8.268,0.955,0.921,0.861,0.595,0.173,0.040,0.037,0.161,0.643,96.816,85.282,0.737,0.975,27.699,11.068,1.296,90.439,71.549,3.701,2.357,0.561,0.628,0.168,0.035,0.034,0.149,8.216,0.244,0.986,11.776,0.618,1.842,82.389,51.066,0.651,0.463,0.460,0.625,25.840,9.611,0.912,0.500,0.500
