Experiment-series,Dataset-name,Experiment-name,count,testing/ensemble_3/accuracy_top_1-epoch-mean,testing/ensemble_3/accuracy_top_5-epoch-mean,testing/ensemble_3/aps-macro,testing/ensemble_3/auc-macro,testing/ensemble_3/bs-macro,testing/ensemble_3/image_to_text_accuracy-epoch-mean,testing/ensemble_3/image_to_text_accuracy_top_5-epoch-mean,testing/ensemble_3/text_to_image_accuracy-epoch-mean,testing/ensemble_3/text_to_image_accuracy_top_5-epoch-mean
hades,winogr,hades-winogr-wits-base16-wit-0,1,,,,,,0.5322808027267456,1.0,0.4905056357383728,1.0
hades,vggfs,hades-vggfs-witp-base16-wit-0,1,0.9685680866241456,,,,,,,,
hades,winogr,hades-winogr-talis-base16-witav-0,2,,,,,,0.5212673544883728,1.0,0.4837510883808136,1.0
hades,winogr,hades-winogr-witp-base16-wit-0,1,,,,,,0.5198025107383728,1.0,0.4867078959941864,1.0
hades,winogr,hades-winogr-deit3-base-patch16-224-fb-in1k,3,,,,,,0.4938512941201528,1.0,0.42552806933720905,1.0
hades,svhn,hades-svhn-talis-base16-wita-0,1,78.92593383789062,95.40565490722656,,,,,,,
hades,svhn,hades-svhn-wits-base16-wit-0,1,84.12722778320312,97.21112823486328,,,,,,,
hades,p365,hades-p365-talip-base16-witav-0,1,54.7244758605957,85.44314575195312,,,,,,,
hades,stl10,hades-stl10-talip-base16-wiva-0,1,93.6125030517578,99.7624969482422,,,,,,,
hades,p365,hades-p365-talis-base16-wita-0,1,26.347501754760746,54.447853088378906,,,,,,,
hades,p365,hades-p365-talis-base16-witav-0,1,22.817155838012695,49.45497512817383,,,,,,,
hades,clvrmath,hades-clvrmath-wits-base16-wit-0,1,54.907127380371094,98.58182525634766,,,,,,,
hades,clvr,hades-clvr-wits-base16-wit-0,0,,,,,,,,,
hades,c100,hades-c100-talip-base16-witav-0,1,66.33000183105469,88.25,,,,,,,
hades,clvr,hades-clvr-talis-base16-witav-0,0,,,,,,,,,
hades,fungifs,hades-fungifs-talip-base16-witav-0,1,0.8798847198486328,,,,,,,,
hades,winogr,hades-winogr-talip-base16-wita-0,2,,,,,,0.5421006977558136,1.0,0.4906684011220932,1.0
hades,airfs,hades-airfs-talis-base16-witav-0,1,0.5778586864471436,,,,,,,,
hades,ham10k,hades-ham10k-talip-base16-witav-0,1,,,0.8318768161384078,0.9669963329929084,0.03623094308084544,,,,
hades,f101,hades-f101-witp-base16-wit-0,1,87.68999481201172,97.5182113647461,,,,,,,
hades,dtextfs,hades-dtextfs-talis-base16-witav-0,1,0.5659968852996826,,,,,,,,
hades,ham10k,hades-ham10k-witp-base16-wit-0,1,,,0.8230722526922799,0.9650461376143202,0.03421048130195845,,,,
hades,dtextfs,hades-dtextfs-talip-base16-wita-0,1,0.8304254412651062,,,,,,,,
hades,omnifs,hades-omnifs-talip-base16-wita-0,1,0.9912895560264589,,,,,,,,
hades,dtextfs,hades-dtextfs-talis-base16-wita-0,1,0.6048857569694519,,,,,,,,
hades,c100,hades-c100-talip-base16-wita-0,1,65.95999908447266,88.38999938964844,,,,,,,
hades,flickr30k,hades-flickr30k-talis-base16-witav-0,1,,,,,,0.131063312292099,0.4586802423000336,0.13755618035793304,0.4839743971824646
hades,flickr30k,hades-flickr30k-talip-base16-wita-0,2,,,,,,0.18150277435779572,0.5391388833522797,0.18663263320922852,0.5700336992740631
hades,flickr30k,hades-flickr30k-talip-base16-wiva-0,1,,,,,,0.18292361497879028,0.5381972193717957,0.18802867829799652,0.5678859353065491
hades,f101,hades-f101-talip-base16-wiva-0,1,84.3453140258789,96.3188705444336,,,,,,,
hades,clvr,hades-clvr-witp-base16-wit-0,0,,,,,,,,,
hades,fungifs,hades-fungifs-talip-base16-wita-0,1,0.8796077370643616,,,,,,,,
hades,fungifs,hades-fungifs-wits-base16-wit-0,1,0.6394059062004089,,,,,,,,
hades,cubfs,hades-cubfs-talip-base16-witav-0,1,0.9671643972396852,,,,,,,,
hades,stl10,hades-stl10-talip-base16-witav-0,1,94.3625030517578,99.6374969482422,,,,,,,
hades,omnifs,hades-omnifs-talip-base16-wiva-0,1,0.9914632439613342,,,,,,,,
hades,in1k,hades-in1k-wits-base16-wit-0,1,18.8799991607666,39.742000579833984,,,,,,,
hades,p365,hades-p365-talip-base16-wiva-0,1,53.86722183227539,84.51467895507812,,,,,,,
hades,c100,hades-c100-talip-base16-wiva-0,1,60.16999816894531,84.47000122070312,,,,,,,
hades,winogr,hades-winogr-talip-base16-wiva-0,2,,,,,,0.4627549797296524,1.0,0.503662109375,1.0
hades,nycc,hades-nycc-wits-base16-wit-0,2,,,,,,0.16625364124774933,0.5141669809818268,0.17704202979803085,0.5429470837116241
hades,winogr,hades-winogr-clip-vit-base16-224,2,,,,,,0.4847276359796524,1.0,0.519965261220932,1.0
hades,pokeset,hades-pokeset-augreg-vit-base16-224-in1k,2,,,,,,0.5974185764789581,0.7264454066753387,0.5906704664230347,0.7562658488750458
hades,in1k,hades-in1k-sam-vit-base16-224-in1k,1,76.84423065185547,92.5011978149414,,,,,,,
hades,clvrmath,hades-clvrmath-deit3-base-patch16-224-fb-in1k,1,33.71464538574219,91.08736419677734,,,,,,,
hades,vggfs,hades-vggfs-laion-vit-base16-224,1,0.9842020869255066,,,,,,,,
hades,in1k,hades-in1k-resnet50-a1-in1k,3,73.5286153157552,91.14356994628906,,,,,,,
hades,chx,hades-chx-talis-base16-witav-0,1,,,0.32904985645076695,0.6242095780789996,0.2530915113776639,,,,
hades,pokeset,hades-pokeset-efficientnetv2-rw-s-ra2-in1k,2,,,,,,0.5684007108211517,0.7535790205001831,0.5728649795055389,0.7231143712997437
hades,dtextfs,hades-dtextfs-flexivit-base-1200ep-in1k,1,0.8298666477203369,,,,,,,,
hades,dtextfs,hades-dtextfs-augreg-vit-base16-224-in1k,1,0.8117000460624695,,,,,,,,
hades,winogr,hades-winogr-talis-base16-wita-0,1,,,,,,0.4337022602558136,1.0,0.4429796040058136,1.0
hades,winogr,hades-winogr-wide-resnet50-2-tv-in1k,2,,,,,,0.498779296875,1.0,0.4969889372587204,1.0
hades,winogr,hades-winogr-flexivit-base-1200ep-in1k,1,,,,,,0.3816189169883728,1.0,0.4683159589767456,1.0
hades,c100,hades-c100-wits-base16-wit-0,1,34.82284927368164,60.131370544433594,,,,,,,
hades,flickr30k,hades-flickr30k-efficientnetv2-rw-s-ra2-in1k,2,,,,,,0.07799697853624821,0.2853282131254673,0.07815707102417946,0.29460714757442474
hades,chx,hades-chx-talip-base16-witav-0,1,,,0.536475994945293,0.7686256457547735,0.18554771320753352,,,,
hades,p365,hades-p365-wide-resnet50-2-tv-in1k,2,30.131937980651855,59.935808181762695,,,,,,,
hades,dtextfs,hades-dtextfs-wits-base16-wit-0,1,0.6439976692199707,,,,,,,,
hades,flickr30k,hades-flickr30k-wide-resnet50-2-tv-in1k,2,,,,,,0.04570981999859214,0.2093348540365696,0.046544143464416265,0.20890529826283455
hades,cubfs,hades-cubfs-wide-resnet50-2-tv-in1k,1,0.7710591554641724,,,,,,,,
hades,dr,hades-dr-sam-vit-base16-224-in1k,1,,,0.4801148939305245,0.7977928910005945,0.08114833696947002,,,,
hades,winogr,hades-winogr-sam-vit-base16-224-in1k,1,,,,,,0.3584526777267456,1.0,0.4495442807674408,1.0
hades,svhn,hades-svhn-sam-vit-base16-224-in1k,2,90.97605514526367,98.74642944335938,,,,,,,
hades,flickr30k,hades-flickr30k-laion-vit-base16-224,1,,,,,,0.0385088212788105,0.13389639556407928,0.035374436527490616,0.12822823226451874
hades,nycc,hades-nycc-dino-vit-base16-224,1,,,,,,0.031395457684993744,0.11523554474115372,0.029640577733516693,0.1134149730205536
